node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
2414 2415 10 -1.0384 -0.1400 -2.1836 -2.0339 -0.1272 -3.2898 0.0543 11.3336 53.0000 5 2 10  
13 226 367 -0.1612 0.4430 -10.8154 -0.6416 0.3226 -10.8841 0.0091 11.3692 55.7313 2 2 367  
1451 1452 7 1.7120 -1.2847 -3.1854 2.4000 -2.0313 -4.2724 0.0522 11.4951 53.0000 5 2 7  
2134 2135 9 -3.1636 -1.0758 -4.1411 -4.2062 -1.4108 -5.1114 0.0393 11.6063 53.5000 5 2 9  
34 35 1 -1.4728 -0.3836 -23.6671 -1.4410 -0.5944 -24.6375 0.0255 11.6955 63.0000 1 2 1  
1799 1800 8 -3.6763 3.3708 -4.3871 -4.5587 4.1520 -5.2836 0.0569 11.7418 54.0000 5 2 8  
551 571 482 1.3423 -1.5477 -4.2438 1.1731 -2.0153 -4.2964 0.0083 11.7688 56.1132 2 2 482  
12 223 366 -0.1845 0.4480 -9.9468 -0.6192 0.3990 -10.1888 0.0086 11.7730 56.1827 2 2 366  
842 843 5 -1.5593 2.9673 -4.0382 -1.7710 3.9758 -5.1317 0.0634 11.8690 54.0000 5 2 5  
1135 1136 6 0.6711 -3.6297 -3.7097 0.8779 -4.5789 -4.8197 0.0543 11.8968 53.5000 5 2 6  
2415 2416 10 -2.0339 -0.1272 -3.2898 -2.8446 -0.2091 -4.5454 0.0543 11.9937 53.0000 5 2 10  
1452 1453 7 2.4000 -2.0313 -4.2724 2.9627 -2.8523 -5.4213 0.0522 12.0049 53.0000 5 2 7  
710 781 536 2.3116 0.2096 -10.8391 2.2699 0.2853 -10.8893 0.0106 12.1086 51.3008 3 2 536  
14 229 368 -0.1730 0.3068 -11.7963 -0.0266 -0.1643 -11.8776 0.0093 12.1106 55.2131 2 2 368  
2135 2136 9 -4.2062 -1.4108 -5.1114 -5.2482 -1.7656 -6.0863 0.0393 12.1316 53.5000 5 2 9  
2701 2702 11 0.0000 0.0000 -1.0000 -0.0752 -0.0496 -1.0435 0.0505 12.2381 50.8000 5 2 11  
35 36 1 -1.4410 -0.5944 -24.6375 -1.3664 -0.8494 -25.6015 0.0255 12.2537 63.0000 1 2 1  
195 196 359 -0.2855 1.4264 -9.4430 -0.3442 2.3329 -9.8612 0.0099 12.2888 56.6589 3 2 359  
36 37 1 -1.3664 -0.8494 -25.6015 -1.3561 -0.8618 -25.6740 0.0255 12.2953 63.0000 1 2 1  
1800 1801 8 -4.5587 4.1520 -5.2836 -5.2529 4.8275 -6.4179 0.0569 12.3052 54.0000 5 2 8  
712 713 4 2.4636 0.3302 -13.8369 2.3791 0.3635 -15.3900 0.0186 12.3274 61.5000 4 2 4  
839 896 555 -0.0406 0.0736 -1.0541 0.0398 0.1320 -1.0654 0.0103 12.4551 50.8650 3 2 555  
1136 1137 6 0.8779 -4.5789 -4.8197 0.9925 -5.4757 -6.0029 0.0543 12.5007 53.5000 5 2 6  
1453 1454 7 2.9627 -2.8523 -5.4213 3.5743 -3.5569 -6.6319 0.0522 12.5227 53.0000 5 2 7  
1449 1518 734 0.0554 -0.0495 -1.0670 0.0173 -0.1096 -1.1373 0.0095 12.5250 50.7992 3 2 734  
552 574 483 1.7428 -2.2036 -5.4842 1.8932 -2.6631 -5.3568 0.0095 12.5276 54.4723 2 2 483  
27 276 382 -0.5277 -0.0987 -19.9359 -0.4511 -0.1500 -19.9747 0.0101 12.5600 50.7731 3 2 382  
607 630 497 -1.7630 -2.3542 -5.6163 -2.2373 -2.4451 -5.4869 0.0077 12.5850 54.4655 2 2 497  
843 844 5 -1.7710 3.9758 -5.1317 -2.1346 5.0639 -6.1227 0.0634 12.6002 54.0000 5 2 5  
609 636 499 -2.6586 -3.6470 -8.2365 -2.7240 -3.7227 -8.2366 0.0098 12.6344 50.7706 3 2 499  
2416 2417 10 -2.8446 -0.2091 -4.5454 -3.6564 -0.1896 -5.8127 0.0543 12.6641 53.0000 5 2 10  
2136 2137 9 -5.2482 -1.7656 -6.0863 -6.1209 -2.1586 -7.2560 0.0393 12.6772 53.5000 5 2 9  
2701 2997 12 0.0000 0.0000 -1.0000 -0.0196 0.0806 -1.0558 0.0330 12.7395 50.3000 5 2 12  
37 38 1 -1.3561 -0.8618 -25.6740 -1.2265 -1.0056 -26.5402 0.0255 12.7949 63.0000 1 2 1  
2702 2703 11 -0.0752 -0.0496 -1.0435 -1.1942 -0.5148 -1.9019 0.0505 12.8063 50.8000 5 2 11  
16 232 369 -0.1420 0.1632 -12.8367 -0.5029 0.4764 -12.9839 0.0077 12.8252 54.6591 2 2 369  
1797 1863 837 -1.9229 1.7544 -2.6505 -1.9837 1.6778 -2.6712 0.0108 12.8609 50.4558 3 2 837  
1801 1802 8 -5.2529 4.8275 -6.4179 -6.0221 5.5681 -7.4884 0.0569 12.8833 54.0000 5 2 8  
708 775 534 1.7586 0.0463 -7.7999 1.3480 0.0215 -8.0841 0.0076 12.9019 54.4757 2 2 534  
611 612 3 -3.5222 -4.1644 -11.0565 -3.6126 -4.4405 -12.5745 0.0170 12.9060 62.0000 4 2 3  
725 726 521 1.6410 -0.3865 -3.5602 2.6098 -0.6109 -3.6654 0.0101 13.0095 58.0595 3 2 521  
1454 1455 7 3.5743 -3.5569 -6.6319 4.0833 -4.0816 -7.9386 0.0522 13.0352 53.0000 5 2 7  
