 ******* Program HYDRUS
 ******* Example 2 - Grass Field Problem (Hupselse Beek 1982)                    
 Date: ***.**.    Time: ***: 0:**
 Units: L = cm   , T = days , M = -    


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  88   -87.0000   -1329.621 0.1185   0.6721E-05  0.1731E-04 -0.4547E-05  0.1405E-05      -1  -0.182E-06   20.00
  89   -88.0000   -1329.301 0.1185   0.6726E-05  0.1732E-04 -0.5145E-05  0.0000E+00      -1  -0.206E-06   20.00
  90   -89.0000   -1329.151 0.1185   0.6728E-05  0.1732E-04 -0.5665E-05  0.1351E-05      -1  -0.227E-06   20.00
  91   -90.0000   -1328.985 0.1185   0.6730E-05  0.1732E-04 -0.5787E-05  0.6023E-06      -1  -0.232E-06   20.00
  92   -91.0000   -1328.871 0.1185   0.6731E-05  0.1733E-04 -0.6021E-05  0.5917E-06      -1  -0.241E-06   20.00
  93   -92.0000   -1328.774 0.1185   0.6733E-05  0.1733E-04 -0.6345E-05  0.0000E+00      -1  -0.254E-06   20.00
  94   -93.0000   -1328.756 0.1185   0.6733E-05  0.1733E-04 -0.6537E-05  0.5956E-06      -1  -0.262E-06   20.00
  95   -94.0000   -1328.716 0.1185   0.6733E-05  0.1733E-04 -0.6505E-05  0.5727E-06      -1  -0.261E-06   20.00
  96   -95.0000   -1328.688 0.1185   0.6734E-05  0.1733E-04 -0.6643E-05  0.0000E+00      -1  -0.266E-06   20.00
  97   -96.0000   -1328.689 0.1185   0.6734E-05  0.1733E-04 -0.6740E-05  0.0000E+00      -1  -0.270E-06   20.00
  98   -97.0000   -1328.690 0.1185   0.6734E-05  0.1733E-04 -0.6737E-05  0.0000E+00      -1  -0.270E-06   20.00
  99   -98.0000   -1328.690 0.1185   0.6734E-05  0.1733E-04 -0.6734E-05  0.0000E+00      -1  -0.270E-06   20.00
 100   -99.0000   -1328.690 0.1185   0.6734E-05  0.1733E-04 -0.6734E-05  0.0000E+00      -1  -0.270E-06   20.00
 101  -100.0000   -1328.690 0.1185   0.6734E-05  0.1733E-04 -0.6734E-05  0.0000E+00      -1  -0.270E-06   20.00
end


 Time:        0.0417


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

   1     0.0000   -1328.690 0.1185   0.6734E-05  0.1733E-04 -0.9123E-02  0.9548E-03      -1  -0.366E-03   20.00
   2    -1.0000   -3828.424 0.1004   0.1810E-06  0.3306E-05 -0.4696E-02  0.6192E-02      -1  -0.188E-03   20.00
